Date,Open,High,Low,Close,Volume
2025-09-29 00:00:00+05:30,113.1500015258789,116.25,111.66000366210938,112.29000091552734,1252988
2025-09-30 00:00:00+05:30,112.73999786376953,121.9000015258789,111.5199966430664,114.29000091552734,1967739
2025-10-01 00:00:00+05:30,114.25,123.9800033569336,114.12999725341797,119.80999755859375,1635111
2025-10-03 00:00:00+05:30,120.7699966430664,121.48999786376953,119.0,120.52999877929688,366961
2025-10-06 00:00:00+05:30,118.54000091552734,121.0999984741211,118.0,120.19000244140625,400941
2025-10-07 00:00:00+05:30,120.16999816894531,123.0,120.16999816894531,122.52999877929688,601621
2025-10-08 00:00:00+05:30,122.77999877929688,130.89999389648438,122.70999908447266,128.27999877929688,2052845
2025-10-09 00:00:00+05:30,128.89999389648438,138.5,127.22000122070312,135.97000122070312,3114648
2025-10-10 00:00:00+05:30,135.0,137.83999633789062,132.85000610351562,135.4600067138672,922171
2025-10-13 00:00:00+05:30,135.4600067138672,139.2100067138672,131.60000610351562,133.4199981689453,885005
2025-10-14 00:00:00+05:30,134.39999389648438,134.4199981689453,126.86000061035156,132.4499969482422,1202561
2025-10-15 00:00:00+05:30,133.3000030517578,133.64999389648438,129.75,131.52000427246094,357736
2025-10-16 00:00:00+05:30,131.89999389648438,133.35000610351562,130.1999969482422,132.88999938964844,281897
2025-10-17 00:00:00+05:30,132.0,134.89999389648438,130.64999389648438,133.3000030517578,424241
2025-10-20 00:00:00+05:30,132.6999969482422,141.0,131.22000122070312,139.0,1549628
2025-10-21 00:00:00+05:30,140.60000610351562,142.5,137.85000610351562,140.11000061035156,370929
2025-10-23 00:00:00+05:30,140.11000061035156,141.5,135.75,137.60000610351562,473994
2025-10-24 00:00:00+05:30,138.14999389648438,139.0,133.0,135.02000427246094,466861
2025-10-27 00:00:00+05:30,134.8699951171875,136.6300048828125,133.0,135.08999633789062,417993
2025-10-28 00:00:00+05:30,134.5,135.88999938964844,131.63999938964844,133.91000366210938,327103
